CinemaID, Type, Arrangement, Showtime
1|1|00000000000000000000|28/09/2022 12:00
2|2|00000000|28/09/2022 12:00
3|0|00000000000000000000000000000000000000000000000000|28/09/2022 11:00
4|0|00000000000000000000000000000000000000000000000000|28/09/2022 06:00
5|1|00000000000000000000|28/09/2022 12:00
6|2|00000000|28/09/2022 12:00
0|0|00000000000000000000000000000000000000000000000000|28/09/2022 12:00
0|0|00000000000000000000000000000000000000000000000000|28/09/2022 12:00
0|0|00000000000000000000000000000000000000000000000000|27/09/2022 12:00
0|0|00000000000000000000000000000000000000000000000000|26/09/2022 12:00
0|0|00000000000000000000000000000000000000000000000000|25/09/2022 12:00
1|0|00000000000000000000000000000000000000000000000000|22/03/2022 10:15
8|2|00000000|14/11/2022 18:30
